music_name,original_works,asset_url
53分钟的蓝色大海,卯酉东海道,https://upload.thbwiki.cc/2/21/hr04_02.mp3
A Sacred Lot,东方灵异传,https://upload.thbwiki.cc/0/0b/A_Sacret_Lot_0.mp3
A Sacred Lot,东方怪绮谈,https://upload.thbwiki.cc/3/32/ha05_01.mp3
A Sacred Lot,幺乐团的历史 vol.5,https://upload.thbwiki.cc/c/cf/th05_R_01_1.ogg
Alice Maestra,东方幻想乡,https://upload.thbwiki.cc/c/cb/th4_10.mp3
Alice Maestra,东方怪绮谈,https://upload.thbwiki.cc/0/03/TORA-00009_09.mp3
Alice Maestra,东方幻想的音乐,https://upload.thbwiki.cc/a/ab/ha01a_09.mp3
Alice Maestra,东方幻想怀古曲,https://upload.thbwiki.cc/c/c4/th04_09_26.ogg
Alice Maestra,东方紫香花,https://upload.thbwiki.cc/c/c0/th04_09_86.ogg
Alice Maestra,幺乐团的历史 vol.1,https://upload.thbwiki.cc/6/60/th05_G_09_26.ogg
AN ORDEAL FROM GOD,神魔讨绮传,https://upload.thbwiki.cc/4/46/DNAS-MJST_29.mp3
AN ORDEAL FROM GOD,东方幻想麻将,
Antique Terror,秋霜玉,https://upload.thbwiki.cc/5/54/SE01_12.mp3
Antique Terror,东方幻想的音乐,https://upload.thbwiki.cc/d/df/ssg_12.mp3
