music_name,music_url,translate_names
53分钟的蓝色大海,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,53ミニッツの青い海|53分钟的蓝色大海|Blue Sea of 53 Minutes
A Sacred Lot,https://thwiki.cc/A_Sacred_Lot,A Sacred Lot|A Sacred Lot|A Sacred Lot|神圣之地|神圣的命运
Alice Maestra,https://thwiki.cc/Alice_Maestra,アリスマエステラ|Alice Maestra|Alice Maestra
AN ORDEAL FROM GOD,https://thwiki.cc/AN_ORDEAL_FROM_GOD,AN ORDEAL FROM GOD|AN ORDEAL FROM GOD|AN ORDEAL FROM GOD|来自神的考验
Antique Terror,https://thwiki.cc/Antique_Terror,アンティークテラー|Antique Terror|Antique Terror|古老的恐怖
Arcadian Dream,https://thwiki.cc/Arcadian_Dream,Arcadian Dream|Arcadian Dream|Arcadian Dream|幻想之梦
Bad Apple!!,https://thwiki.cc/Bad_Apple!!,Bad Apple!!|Bad Apple!!|Bad Apple!!
Banditry Technology,https://thwiki.cc/Banditry_Technology,バンデットリィテクノロジー|Banditry Technology|Banditry Technology
Bar·Old Adam,https://thwiki.cc/Bar%C2%B7Old_Adam,"バー・オールドアダム|Bar·Old Adam|""Old Adam"" Bar|老亚当酒吧"
Beast Metropolis,https://thwiki.cc/Beast_Metropolis,ビーストメトロポリス|Beast Metropolis|Beast Metropolis|野兽大都会
Border Land,https://thwiki.cc/Border_Land,Border Land|Border Land|Border Land|边境之地
Border of Life,https://thwiki.cc/Border_of_Life,ボーダーオブライフ|Border of Life|Border of Life|生死之境‎
Break the Sabbath,https://thwiki.cc/Break_the_Sabbath,Break the Sabbath|Break the Sabbath|Break the Sabbath|打破安息日
Captain Murasa,https://thwiki.cc/Captain_Murasa,キャプテン・ムラサ|Captain Murasa|Captain Murasa|村纱船长‎
Castle Explorer -in the Sky-,https://thwiki.cc/Castle_Explorer_-in_the_Sky-,Castle Explorer -in the Sky-|Castle Explorer -in the Sky-|Castle Explorer -in the Sky-
Complete Darkness,https://thwiki.cc/Complete_Darkness,Complete Darkness|Complete Darkness|Complete Darkness|全然黑暗
Crazy Back Dancers,https://thwiki.cc/Crazy_Back_Dancers,クレイジーバックダンサーズ|Crazy Back Dancers|Crazy Backup Dancers|疯狂的背景舞者
Crescent Dream,https://thwiki.cc/Crescent_Dream,Crescent Dream|Crescent Dream|Crescent Dream|月牙之梦|新月之梦
Crystallize Silver,https://thwiki.cc/Crystallize_Silver,クリスタライズシルバー|Crystallize Silver|Crystallized Silver
Days,https://thwiki.cc/Days,Days|Days|Days
Demystify Feast,https://thwiki.cc/Demystify_Feast,Demystify Feast|Demystify Feast|Demystify Feast|揭开宴会的秘密
Desire Dream,https://thwiki.cc/Desire_Dream,デザイアドリーム|Desire Dream|Desire Dream|欲之梦|欲望之梦
Desire Drive,https://thwiki.cc/Desire_Drive,デザイアドライブ|Desire Drive|Desire Drive|欲望驱动|欲望加速
Dim. Dream,https://thwiki.cc/Dim._Dream,Dim. Dream|Dim. Dream|Dim. Dream
Disastrous Gemini,https://thwiki.cc/Disastrous_Gemini,ディザストラスジェミニ|Disastrous Gemini|Disastrous Gemini|灾难的双子座‎
Dr. Latency的令人不眠之瞳,https://thwiki.cc/Dr._Latency%E7%9A%84%E4%BB%A4%E4%BA%BA%E4%B8%8D%E7%9C%A0%E4%B9%8B%E7%9E%B3,Dr.レイテンシーの眠れなくなる瞳|Dr. Latency的令人不眠之瞳|Dr. Latency's Sleepless Eyes
Dream Express,https://thwiki.cc/Dream_Express,Dream Express|Dream Express|Dream Express|梦之特快车|梦幻快车
Dream Land,https://thwiki.cc/Dream_Land,Dream Land|Dream Land|Dream Land|梦幻之地
Dreamy pilot,https://thwiki.cc/Dreamy_pilot,Dreamy pilot|Dreamy pilot|Dreamy pilot|梦幻驾驶员
Electric Heritage,https://thwiki.cc/Electric_Heritage,エレクトリックヘリテージ|Electric Heritage|Electric Heritage|电子遗产
End of Daylight,https://thwiki.cc/End_of_Daylight,End of Daylight|End of Daylight|End of Daylight
Endless,https://thwiki.cc/Endless,Endless|Endless|Endless
